codigo_ibge;Município;IDHM;IDHM Educação;IDHM Longevidade;IDHM Renda
310010;Abadia dos Dourados;0,689;0,563;0,839;0,693
310020;Abaeté;0,698;0,556;0,848;0,72
310030;Abre Campo;0,654;0,525;0,823;0,646
310040;Acaiaca;0,63;0,499;0,823;0,61
310050;Açucena;0,61;0,451;0,844;0,595
310060;Água Boa;0,576;0,403;0,799;0,594
310070;Água Comprida;0,675;0,498;0,86;0,719
310080;Aguanil;0,663;0,513;0,845;0,672
310090;Águas Formosas;0,645;0,531;0,811;0,624
310100;Águas Vermelhas;0,601;0,458;0,808;0,586
310110;Aimorés;0,684;0,576;0,81;0,685
310120;Aiuruoca;0,668;0,505;0,871;0,677
310130;Alagoa;0,649;0,518;0,832;0,634
310140;Albertina;0,673;0,549;0,813;0,684
310150;Além Paraíba;0,726;0,626;0,857;0,713
310160;Alfenas;0,761;0,712;0,841;0,737
310163;Alfredo Vasconcelos;0,675;0,587;0,834;0,629
310170;Almenara;0,642;0,518;0,803;0,636
310180;Alpercata;0,646;0,521;0,824;0,629
310190;Alpinópolis;0,725;0,629;0,862;0,703
310200;Alterosa;0,668;0,536;0,847;0,657
310205;Alto Caparaó;0,661;0,514;0,842;0,666
310210;Alto Rio Doce;0,62;0,483;0,828;0,595
310220;Alvarenga;0,592;0,441;0,798;0,589
310230;Alvinópolis;0,676;0,577;0,822;0,651
310240;Alvorada de Minas;0,572;0,414;0,794;0,57
310250;Amparo do Serra;0,641;0,528;0,811;0,616
310260;Andradas;0,734;0,617;0,878;0,731
310270;Cachoeira de Pajeú;0,578;0,444;0,771;0,563
310280;Andrelândia;0,7;0,621;0,818;0,675
310285;Angelândia;0,597;0,473;0,756;0,594
310290;Antônio Carlos;0,683;0,584;0,838;0,65
310300;Antônio Dias;0,645;0,507;0,849;0,624
310310;Antônio Prado de Minas;0,684;0,572;0,83;0,674
310320;Araçaí;0,695;0,632;0,805;0,659
310330;Aracitaba;0,661;0,577;0,823;0,608
310340;Araçuaí;0,663;0,56;0,821;0,633
310350;Araguari;0,773;0,716;0,871;0,74
310360;Arantina;0,697;0,641;0,834;0,633
310370;Araponga;0,536;0,339;0,76;0,597
310375;Araporã;0,708;0,646;0,813;0,676
310380;Arapuá;0,724;0,608;0,871;0,718
310390;Araújos;0,698;0,574;0,855;0,694
310400;Araxá;0,772;0,709;0,858;0,756
310410;Arceburgo;0,683;0,573;0,81;0,687
310420;Arcos;0,749;0,671;0,874;0,717
310430;Areado;0,727;0,649;0,847;0,7
310440;Argirita;0,643;0,505;0,817;0,645
310445;Aricanduva;0,582;0,454;0,787;0,553
310450;Arinos;0,656;0,57;0,815;0,607
310460;Astolfo Dutra;0,694;0,567;0,858;0,686
310470;Ataléia;0,588;0,423;0,813;0,592
310480;Augusto de Lima;0,656;0,557;0,815;0,622
310490;Baependi;0,681;0,57;0,833;0,664
310500;Baldim;0,671;0,59;0,787;0,65
310510;Bambuí;0,741;0,636;0,87;0,735
310520;Bandeira;0,599;0,454;0,811;0,583
310530;Bandeira do Sul;0,692;0,608;0,802;0,681
310540;Barão de Cocais;0,722;0,647;0,858;0,679
310550;Barão de Monte Alto;0,649;0,533;0,827;0,619
310560;Barbacena;0,769;0,687;0,881;0,751
310570;Barra Longa;0,624;0,482;0,823;0,613
310590;Barroso;0,734;0,678;0,864;0,675
310600;Bela Vista de Minas;0,674;0,597;0,795;0,644
310610;Belmiro Braga;0,66;0,531;0,83;0,653
310620;Belo Horizonte;0,81;0,737;0,856;0,841
310630;Belo Oriente;0,686;0,606;0,813;0,655
310640;Belo Vale;0,655;0,514;0,814;0,672
310650;Berilo;0,628;0,524;0,816;0,58
310660;Bertópolis;0,594;0,455;0,799;0,576
310665;Berizal;0,604;0,52;0,757;0,56
310670;Betim;0,749;0,687;0,864;0,709
310680;Bias Fortes;0,62;0,495;0,796;0,605
310690;Bicas;0,744;0,667;0,85;0,726
310700;Biquinhas;0,688;0,555;0,857;0,684
310710;Boa Esperança;0,704;0,587;0,855;0,694
310720;Bocaina de Minas;0,645;0,476;0,848;0,665
310730;Bocaiúva;0,7;0,644;0,822;0,648
310740;Bom Despacho;0,75;0,661;0,861;0,742
310750;Bom Jardim de Minas;0,673;0,569;0,822;0,653
310760;Bom Jesus da Penha;0,735;0,662;0,862;0,696
310770;Bom Jesus do Amparo;0,683;0,582;0,834;0,655
310780;Bom Jesus do Galho;0,623;0,491;0,8;0,615
310790;Bom Repouso;0,653;0,523;0,821;0,647
310800;Bom Sucesso;0,692;0,602;0,808;0,68
310810;Bonfim;0,637;0,464;0,834;0,669
310820;Bonfinópolis de Minas;0,678;0,598;0,796;0,655
310825;Bonito de Minas;0,537;0,388;0,776;0,514
310830;Borda da Mata;0,73;0,64;0,865;0,703
310840;Botelhos;0,702;0,568;0,868;0,702
310850;Botumirim;0,602;0,517;0,782;0,54
310855;Brasilândia de Minas;0,674;0,559;0,848;0,646
310860;Brasília de Minas;0,656;0,568;0,813;0,612
310870;Brás Pires;0,625;0,523;0,801;0,582
310880;Braúnas;0,624;0,478;0,802;0,635
310890;Brasópolis;0,692;0,566;0,841;0,697
310900;Brumadinho;0,747;0,639;0,857;0,761
310910;Bueno Brandão;0,658;0,507;0,848;0,662
310920;Buenópolis;0,669;0,579;0,796;0,65
310925;Bugre;0,627;0,511;0,8;0,602
310930;Buritis;0,672;0,558;0,815;0,666
310940;Buritizeiro;0,624;0,524;0,768;0,603
310945;Cabeceira Grande;0,648;0,542;0,788;0,638
310950;Cabo Verde;0,674;0,527;0,847;0,686
310960;Cachoeira da Prata;0,741;0,707;0,834;0,689
310970;Cachoeira de Minas;0,706;0,637;0,821;0,673
