 Imunizações - Cobertura - Minas Gerais
Cobertura por Município e Ano
Período:2009-2018
"Município";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"310010 Abadia dos Dourados";74,24;90,98;108,55;82,27;60,87;78,59;106,54;60,10;91,46;124,29;84,71
"310020 Abaeté";84,71;77,10;88,42;80,15;74,79;89,20;94,17;56,40;82,25;112,42;82,20
"310030 Abre Campo";82,97;82,14;84,51;77,00;68,40;14,79;96,42;49,52;76,52;93,26;72,56
"310040 Acaiaca";66,68;63,43;62,70;50,15;79,84;72,49;94,28;26,04;128,70;118,93;70,86
"310050 Açucena";76,61;86,24;109,74;76,03;80,03;140,92;128,32;79,09;126,99;101,34;96,37
"310060 Água Boa";78,75;102,59;106,78;75,45;70,66;110,59;88,76;62,78;102,75;104,27;88,70
"310070 Água Comprida";77,03;82,01;104,25;112,07;112,37;97,76;172,16;101,82;132,20;154,26;107,85
"310080 Aguanil";83,85;85,75;93,89;89,87;107,17;111,29;81,55;72,12;84,46;117,38;90,29
"310090 Águas Formosas";80,74;87,61;127,62;90,13;96,04;92,99;100,28;67,47;100,28;95,92;91,29
"310100 Águas Vermelhas";118,95;100,95;160,07;160,42;68,72;89,87;111,08;69,74;111,08;111,65;102,28
"310110 Aimorés";78,12;77,69;95,56;82,72;89,04;99,86;111,90;47,68;70,92;92,53;82,54
"310120 Aiuruoca";78,87;90,20;73,31;79,14;79,84;101,75;73,73;61,47;94,91;90,88;82,43
"310130 Alagoa";69,28;75,02;53,13;42,38;110,53;204,35;129,65;64,24;100,00;187,83;86,32
"310140 Albertina";80,79;102,70;88,04;95,17;96,44;64,01;84,85;71,95;152,60;112,14;93,54
"310150 Além Paraíba";86,78;91,70;97,81;85,87;82,16;80,83;84,95;59,71;79,22;79,13;82,19
"310160 Alfenas";68,77;70,55;81,18;71,13;80,51;90,96;135,86;69,38;89,13;75,39;81,90
"310163 Alfredo Vasconcelos";77,82;70,48;58,50;60,30;113,45;137,30;93,97;76,49;138,02;105,11;92,26
"310170 Almenara";103,17;111,16;145,19;117,52;86,01;64,76;93,59;61,84;69,59;62,12;87,04
"310180 Alpercata";83,55;92,46;121,00;84,06;79,65;81,69;112,99;62,30;72,61;75,81;84,21
"310190 Alpinópolis";78,97;83,44;97,28;82,82;112,84;115,36;106,79;73,15;85,61;89,24;90,53
"310200 Alterosa";81,98;88,58;101,53;98,51;89,74;124,53;124,17;64,78;94,73;118,87;95,86
"310205 Alto Caparaó";87,52;80,17;96,07;76,49;85,71;87,55;75,33;80,00;121,99;117,00;89,20
"315350 Alto Jequitibá";86,96;81,01;92,20;85,58;85,01;111,02;110,54;75,18;95,11;106,24;91,36
"310210 Alto Rio Doce";88,26;73,95;80,51;63,78;78,52;99,42;97,80;64,40;87,10;119,56;83,48
"310220 Alvarenga";76,31;77,30;84,96;69,55;80,00;158,43;93,00;81,55;128,00;104,62;90,63
"310230 Alvinópolis";76,48;74,82;89,05;81,03;105,68;81,94;116,29;73,56;114,16;99,24;87,73
"310240 Alvorada de Minas";98,79;81,40;92,88;76,75;90,02;115,87;108,54;82,38;102,28;93,21;93,59
"310250 Amparo do Serra";91,23;103,29;126,48;101,23;68,86;78,66;77,07;70,52;109,23;91,55;90,09
"310260 Andradas";77,28;79,66;73,94;80,39;85,93;97,30;140,78;73,59;75,95;93,63;86,06
"310280 Andrelândia";90,55;90,45;110,43;96,83;96,79;203,55;103,22;84,49;100,11;88,02;103,19
"310285 Angelândia";85,30;86,47;79,93;92,47;90,35;102,45;92,22;52,34;68,15;91,04;82,08
"310290 Antônio Carlos";86,76;84,82;98,47;92,68;96,36;114,72;90,58;74,03;116,02;138,62;96,67
"310300 Antônio Dias";84,13;91,82;89,81;63,98;73,30;96,23;105,60;78,00;100,99;89,55;86,81
"310310 Antônio Prado de Minas";92,16;110,78;226,19;143,57;82,61;124,38;130,45;82,04;159,79;108,10;111,72
"310320 Araçaí";79,58;82,58;88,33;82,00;142,12;84,52;169,16;100,55;124,52;91,04;97,49
"310330 Aracitaba";77,19;82,09;66,94;57,63;136,45;238,32;112,11;90,68;117,50;256,83;110,70
"310340 Araçuaí";70,02;81,31;87,76;63,06;55,10;460,69;105,42;47,45;62,17;71,17;78,58
"310350 Araguari";71,95;72,95;87,03;78,96;84,12;89,92;83,57;63,06;79,72;87,51;78,68
"310360 Arantina";64,31;81,67;63,81;45,00;89,13;182,34;95,36;21,23;64,89;36,99;72,92
"310370 Araponga";72,06;73,27;57,46;56,76;118,76;110,78;98,77;65,87;106,45;94,26;83,14
"310375 Araporã";69,83;72,85;58,51;53,33;67,41;72,38;90,02;60,09;94,88;100,48;73,06
"310380 Arapuá";87,00;82,93;62,35;64,91;153,53;132,76;211,71;74,79;126,20;199,32;104,26
"310390 Araújos";73,29;88,38;83,39;76,37;103,64;93,77;81,20;45,84;71,33;113,33;81,37
"310400 Araxá";78,43;82,13;91,43;68,24;72,52;74,84;92,55;67,53;86,08;76,52;78,63
"310410 Arceburgo";79,90;74,14;75,11;70,86;113,96;84,09;104,10;99,43;118,99;144,68;91,62
"310420 Arcos";77,44;77,08;94,03;85,79;84,37;93,51;101,54;74,78;92,61;90,39;85,88
"310430 Areado";68,95;76,35;95,45;74,72;120,83;121,20;100,15;72,99;108,59;96,92;90,92
"310440 Argirita";91,93;105,38;117,01;172,37;111,01;144,31;117,10;79,48;109,37;90,26;108,48
"310445 Aricanduva";88,02;80,87;70,66;71,05;102,10;109,01;146,60;57,22;100,00;80,83;88,44
"310450 Arinos";94,12;103,53;107,18;114,41;90,05;83,13;96,27;60,70;87,34;100,41;92,37
"310460 Astolfo Dutra";75,17;85,72;84,51;86,63;106,67;111,53;103,32;80,11;106,87;90,72;91,32
"310470 Ataléia";71,14;87,78;83,16;71,44;84,93;69,31;97,70;48,45;77,00;67,14;74,89
"310480 Augusto de Lima";83,87;90,63;97,95;71,84;108,09;102,12;134,82;75,63;110,98;101,87;95,04
"310490 Baependi";78,39;82,68;90,54;66,60;76,08;98,98;100,63;96,62;140,19;112,23;91,65
"310500 Baldim";80,66;91,10;95,29;88,33;109,55;118,34;120,93;71,81;84,46;76,02;91,02
"310510 Bambuí";79,18;78,89;85,57;76,22;94,40;86,39;93,68;56,41;80,26;93,16;80,94
"310520 Bandeira";79,45;89,26;109,22;107,73;96,80;67,71;203,93;86,70;220,38;113,00;101,91
"310530 Bandeira do Sul";91,88;90,42;129,39;114,45;119,39;99,78;91,90;92,32;132,30;133,30;105,57
"310540 Barão de Cocais";83,30;88,94;93,53;83,51;76,11;119,32;120,18;55,82;67,41;63,18;83,12
"310550 Barão de Monte Alto";87,59;81,38;76,97;75,55;117,92;69,07;193,48;104,49;122,79;91,00;93,50
"310560 Barbacena";84,46;87,51;102,22;87,45;80,83;92,31;101,69;64,55;97,03;105,94;88,74
"310570 Barra Longa";68,98;79,11;106,15;81,11;83,13;69,68;113,33;63,73;80,52;84,85;79,50
"310590 Barroso";84,50;86,99;90,17;86,74;56,22;66,50;93,77;55,20;79,26;89,58;78,17
"310600 Bela Vista de Minas";87,40;71,83;72,33;71,75;85,51;100,33;85,87;54,75;74,70;56,00;75,72
"310610 Belmiro Braga";83,66;71,54;94,61;67,80;98,64;114,44;113,77;74,26;110,08;101,67;90,55
