 Imunizações - Cobertura - Minas Gerais
Cobertura por Município e Ano
Imuno: 006 Febre Amarela
Período:2009-2018
"Município";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"310010 Abadia dos Dourados";110,77;104,62;123,08;98,46;79,22;66,18;94,74;91,55;100,00;113,56;97,59
"310020 Abaeté";114,83;102,54;87,71;88,14;91,96;97,90;83,58;82,31;78,08;111,27;93,27
"310030 Abre Campo";115,15;98,79;84,85;78,79;95,97;12,20;83,01;66,46;72,15;89,33;79,52
"310040 Acaiaca";72,86;80,00;78,57;68,57;100,00;78,72;113,16;47,37;126,32;107,32;84,73
"310050 Açucena";127,84;108,25;111,34;91,75;103,54;126,88;116,82;118,75;112,50;104,59;111,98
"310060 Água Boa";130,77;103,85;104,40;82,97;89,69;104,47;76,17;117,33;93,33;117,24;101,32
"310070 Água Comprida";100,00;76,47;147,06;105,88;115,38;82,61;193,75;128,57;100,00;168,75;119,37
"310080 Aguanil";110,00;105,00;105,00;112,50;132,43;142,00;64,18;84,91;83,02;100,00;101,09
"310090 Águas Formosas";107,66;95,26;120,44;115,69;114,39;71,79;96,97;87,40;79,39;112,05;100,19
"310100 Águas Vermelhas";225,00;159,38;167,71;227,08;85,91;104,76;94,57;100,00;109,88;106,67;124,78
"310110 Aimorés";122,18;113,65;110,92;104,10;114,83;106,33;108,16;63,64;76,80;94,17;101,04
"310120 Aiuruoca";98,21;89,29;85,71;83,93;109,09;98,15;66,10;88,37;111,63;84,44;91,01
"310130 Alagoa";64,10;89,74;71,79;43,59;121,05;200,00;114,29;64,29;96,43;155,56;88,69
"310140 Albertina";116,67;166,67;153,33;113,33;140,91;83,33;66,67;95,45;213,64;96,77;124,81
"310150 Além Paraíba";115,16;121,27;111,00;105,13;111,75;81,14;72,46;79,61;73,25;78,83;94,53
"310160 Alfenas";94,98;77,58;87,51;86,80;92,70;85,52;113,58;88,38;89,55;84,98;90,16
"310163 Alfredo Vasconcelos";101,23;88,89;69,14;79,01;150,00;173,42;82,56;101,39;120,83;69,62;102,80
"310170 Almenara";191,19;154,66;162,44;145,34;110,80;63,62;78,92;86,72;79,89;66,10;106,69
"310180 Alpercata";120,59;88,24;127,94;98,53;105,32;82,65;123,86;86,81;86,81;85,39;99,51
"310190 Alpinópolis";108,37;99,56;101,76;98,24;128,76;116,22;107,66;96,13;73,24;93,61;101,82
"310200 Alterosa";120,00;86,21;117,93;109,66;113,53;120,61;130,82;100,00;91,76;116,78;110,62
"310205 Alto Caparaó";113,33;78,67;82,67;80,00;72,53;107,04;60,98;107,35;116,18;102,74;90,97
"315350 Alto Jequitibá";100,00;92,31;99,04;121,15;106,40;109,90;114,16;98,28;89,66;111,22;104,06
"310210 Alto Rio Doce";92,86;100,79;88,89;69,05;89,08;101,00;72,73;110,20;86,73;133,71;93,41
"310220 Alvarenga";104,62;121,54;72,31;87,69;104,00;125,00;79,69;136,59;124,39;113,46;104,01
"310230 Alvinópolis";110,73;80,79;103,95;91,53;128,92;83,54;108,03;94,48;125,52;109,66;103,30
"310240 Alvorada de Minas";122,81;84,21;96,49;110,53;157,41;101,89;118,97;132,65;112,24;90,91;112,45
"310250 Amparo do Serra";153,19;104,26;165,96;127,66;88,24;58,33;75,76;98,18;112,73;103,33;104,43
"310260 Andradas";90,99;71,40;95,27;77,48;96,17;77,90;122,77;79,60;94,01;92,56;89,66
"310280 Andrelândia";129,77;119,85;119,08;117,56;108,51;158,62;87,80;105,36;91,07;75,44;111,76
"310285 Angelândia";125,00;106,90;99,14;101,72;95,31;140,19;98,31;79,29;75,00;92,31;100,08
"310290 Antônio Carlos";124,76;101,90;119,05;118,10;125,96;120,17;88,62;120,00;89,52;133,33;113,62
"310300 Antônio Dias";112,60;103,15;102,36;65,35;90,57;66,27;108,93;118,18;103,64;105,15;98,22
"310310 Antônio Prado de Minas";214,29;185,71;228,57;200,00;87,50;118,18;80,00;144,44;200,00;80,00;141,94
"310320 Araçaí";105,00;115,00;100,00;105,00;150,00;58,33;150,00;140,00;105,00;110,00;110,82
"310330 Aracitaba";70,00;110,00;60,00;95,00;146,15;300,00;128,57;93,33;146,67;133,33;119,51
"310340 Araçuaí";86,50;74,05;87,55;87,55;67,21;658,33;88,96;60,98;70,36;82,89;86,25
"310350 Araguari";96,80;87,21;97,62;91,75;103,18;93,82;80,26;85,22;86,88;93,54;91,57
"310360 Arantina";67,57;97,30;105,41;56,76;112,50;187,50;106,67;33,33;54,76;61,90;85,55
"310370 Araponga";105,41;91,89;76,58;77,48;164,47;122,22;89,89;96,88;90,63;86,60;98,51
"310375 Araporã";69,93;88,11;77,62;62,24;91,59;71,56;68,04;75,61;78,05;100,00;77,96
"310380 Arapuá";144,44;100,00;81,48;85,19;231,25;113,04;238,46;100,00;95,45;157,14;123,85
"310390 Araújos";110,00;121,00;91,00;100,00;126,53;111,11;67,05;47,50;67,50;113,48;94,38
"310400 Araxá";111,71;104,85;103,26;84,87;105,89;73,38;80,15;99,00;86,08;79,64;92,20
"310410 Arceburgo";108,00;95,20;83,20;99,20;128,85;84,95;78,43;126,14;92,05;143,55;101,83
"310420 Arcos";92,99;90,95;103,85;102,04;106,04;88,54;93,58;95,75;100,21;106,35;98,02
"310430 Areado";79,23;85,79;97,27;90,71;156,25;133,71;92,05;100,57;101,72;93,08;102,94
"310440 Argirita";212,50;181,25;150,00;225,00;131,25;193,94;150,00;74,19;132,26;93,33;145,82
"310445 Aricanduva";175,64;73,08;82,05;78,21;143,33;113,04;175,47;83,33;111,67;100,00;111,69
"310450 Arinos";126,27;130,93;109,75;135,17;129,25;89,82;88,94;105,53;87,10;110,05;111,66
"310460 Astolfo Dutra";93,15;109,59;109,59;106,16;140,13;116,67;99,34;125,60;118,40;108,51;112,61
"310470 Ataléia";89,02;93,90;102,44;79,88;104,85;61,08;100,64;76,51;65,06;76,52;85,01
"310480 Augusto de Lima";126,32;124,56;96,49;80,70;150,00;81,03;129,79;82,26;82,26;101,96;104,12
"310490 Baependi";113,51;99,55;104,05;86,94;92,67;103,53;90,48;115,88;124,71;101,00;102,73
"310500 Baldim";116,30;107,61;110,87;117,39;150,62;110,47;116,67;88,68;79,25;75,79;106,08
"310510 Bambuí";100,42;105,46;94,96;100,00;107,33;79,91;87,61;67,33;78,88;95,00;91,54
"310520 Bandeira";138,30;112,77;138,30;123,40;117,65;70,27;177,27;192,00;156,00;78,85;123,76
"310530 Bandeira do Sul";129,09;114,55;145,45;158,18;147,54;126,39;87,18;130,00;108,33;142,86;127,17
"310540 Barão de Cocais";124,48;104,17;108,59;100,26;97,94;131,45;112,41;74,89;67,75;75,18;98,49
"310550 Barão de Monte Alto";125,00;85,53;82,89;92,11;146,55;51,52;216,67;130,43;119,57;84,78;105,87
"310560 Barbacena";120,51;111,10;117,48;99,73;110,85;88,12;95,30;96,28;100,95;103,44;104,45
"310570 Barra Longa";78,57;78,57;135,71;87,50;137,93;76,92;115,56;78,43;98,04;89,47;97,28
