CO_MUNICIP,CO_MACSAUD
310120,3101
310130,3101
310140,3101
310160,3101
310190,3101
310200,3101
310260,3101
310410,3101
310430,3101
310490,3101
310530,3101
310710,3101
310760,3101
310790,3101
310830,3101
310840,3101
310890,3101
310910,3101
310950,3101
310970,3101
311030,3101
311050,3101
311060,3101
311070,3101
311090,3101
311100,3101
311130,3101
311160,3101
311240,3101
311280,3101
311360,3101
311390,3101
311410,3101
311440,3101
311460,3101
311470,3101
311480,3101
311510,3101
311550,3101
311640,3101
311710,3101
311720,3101
311770,3101
311780,3101
311790,3101
311850,3101
311870,3101
311900,3101
311990,3101
312050,3101
312080,3101
312110,3101
312120,3101
312240,3101
312280,3101
312340,3101
312360,3101
312440,3101
312450,3101
312510,3101
312520,3101
312630,3101
312740,3101
312810,3101
312830,3101
312870,3101
312920,3101
312970,3101
312990,3101
313040,3101
313050,3101
313060,3101
313080,3101
313150,3101
313240,3101
313290,3101
313300,3101
313310,3101
313360,3101
313375,3101
313430,3101
313450,3101
313480,3101
313490,3101
313590,3101
313690,3101
313780,3101
313820,3101
313870,3101
313900,3101
313990,3101
314040,3101
314190,3101
314260,3101
314300,3101
314320,3101
314340,3101
314380,3101
314410,3101
314440,3101
314460,3101
314510,3101
314550,3101
314600,3101
314720,3101
314730,3101
314760,3101
314790,3101
314910,3101
314990,3101
315050,3101
315090,3101
315100,3101
315150,3101
315170,3101
315180,3101
315250,3101
315260,3101
315290,3101
315470,3101
315830,3101
315920,3101
315960,3101
316080,3101
316200,3101
316220,3101
316230,3101
316294,3101
316320,3101
316370,3101
316390,3101
316430,3101
316440,3101
316470,3101
316490,3101
316510,3101
316520,3101
316540,3101
316557,3101
316580,3101
316640,3101
316690,3101
316700,3101
316740,3101
316780,3101
316905,3101
316910,3101
316930,3101
316940,3101
316980,3101
317060,3101
317070,3101
317170,3101
317220,3101
310163,3102
310210,3102
310290,3102
310560,3102
310590,3102
310800,3102
311220,3102
311310,3102
311320,3102
311490,3102
311520,3102
311540,3102
311630,3102
311800,3102
311830,3102
311970,3102
312040,3102
312140,3102
312150,3102
312300,3102
312390,3102
312940,3102
313000,3102
313390,3102
313540,3102
313740,3102
313790,3102
313910,3102
314450,3102
314590,3102
314660,3102
315030,3102
315080,3102
315270,3102
315380,3102
315420,3102
315440,3102
315520,3102
315610,3102
315730,3102
315733,3102
315870,3102
315910,3102
315940,3102
316090,3102
316250,3102
316500,3102
316530,3102
316600,3102
316620,3102
316880,3102
310020,3103
310320,3103
310480,3103
310500,3103
310540,3103
310600,3103
310620,3103
310640,3103
310670,3103
310700,3103
310770,3103
310810,3103
310900,3103
310920,3103
310960,3103
310990,3103
311000,3103
311250,3103
311380,3103
311535,3103
311560,3103
311787,3103
311860,3103
311890,3103
311910,3103
312060,3103
312090,3103
312260,3103
312310,3103
312410,3103
312570,3103
312590,3103
312600,3103
312640,3103
312720,3103
312800,3103
312980,3103
313010,3103
313100,3103
313110,3103
313170,3103
313190,3103
313280,3103
313460,3103
313570,3103
313620,3103
313660,3103
313665,3103
313760,3103
313970,3103
314000,3103
314015,3103
314060,3103
314070,3103
314110,3103
314230,3103
314250,3103
314350,3103
314360,3103
314370,3103
314470,3103
314480,3103
314610,3103
314640,3103
314690,3103
314740,3103
314750,3103
314930,3103
314960,3103
315040,3103
315200,3103
315320,3103
315360,3103
315370,3103
315390,3103
315460,3103
315480,3103
315530,3103
315570,3103
315600,3103
315670,3103
315680,3103
315720,3103
315780,3103
315800,3103
315850,3103
315900,3103
316050,3103
316060,3103
316100,3103
316190,3103
316292,3103
316295,3103
316480,3103
316553,3103
316610,3103
316720,3103
316830,3103
316935,3103
317120,3103
317180,3103
310240,3104
310340,3104
310445,3104
310650,3104
311230,3104
311350,3104
311610,3104
311680,3104
311750,3104
311810,3104
311950,3104
312010,3104
312100,3104
312160,3104
312540,3104
312550,3104
312650,3104
312760,3104
313250,3104
313545,3104
313652,3104
313835,3104
314180,3104
315330,3104
316020,3104
316590,3104
316650,3104
316710,3104
316970,3104
317107,3104
317160,3104
310080,3105
310390,3105
310420,3105
310510,3105
310740,3105
311040,3105
311120,3105
311190,3105
311200,3105
311400,3105
311420,3105
311450,3105
311660,3105
311760,3105
311980,3105
311995,3105
312020,3105
312230,3105
312320,3105
312470,3105
312610,3105
313020,3105
313030,3105
313220,3105
313350,3105
313370,3105
313380,3105
313530,3105
313720,3105
313830,3105
313880,3105
314050,3105
314130,3105
314240,3105
314520,3105
314560,3105
314580,3105
314650,3105
314710,3105
314770,3105
314890,3105
314970,3105
315060,3105
315140,3105
315880,3105
315990,3105
316040,3105
316120,3105
316180,3105
316310,3105
316460,3105
316660,3105
316820,3105
310060,3106
310110,3106
310180,3106
310220,3106
311205,3106
311265,3106
311570,3106
311840,3106
311920,3106
312083,3106
312210,3106
312220,3106
312370,3106
312580,3106
312690,3106
312695,3106
312730,3106
312737,3106
312750,3106
312770,3106
313180,3106
313320,3106
313410,3106
313507,3106
313655,3106
313960,3106
314010,3106
314150,3106
314420,3106
314467,3106
314840,3106
314860,3106
315430,3106
315750,3106
315820,3106
315950,3106
316105,3106
316160,3106
316165,3106
316257,3106
316280,3106
316300,3106
316350,3106
316410,3106
316450,3106
316550,3106
316770,3106
316840,3106
316950,3106
317150,3106
317190,3106
310150,3107
310280,3107
310310,3107
310330,3107
310360,3107
310440,3107
310460,3107
310550,3107
310610,3107
310680,3107
310690,3107
310720,3107
310750,3107
310870,3107
311010,3107
311210,3107
311330,3107
311530,3107
311590,3107
311620,3107
311670,3107
311960,3107
312130,3107
312190,3107
312200,3107
312290,3107
312330,3107
312400,3107
312420,3107
312460,3107
312490,3107
312500,3107
312530,3107
312595,3107
312738,3107
312840,3107
312850,3107
312880,3107
312900,3107
313260,3107
313670,3107
313800,3107
313840,3107
313850,3107
313860,3107
313980,3107
314020,3107
314080,3107
314160,3107
314210,3107
314220,3107
314390,3107
314540,3107
314570,3107
314587,3107
314670,3107
314780,3107
314820,3107
314875,3107
314900,3107
314940,3107
314950,3107
315010,3107
315110,3107
315130,3107
315310,3107
315410,3107
315540,3107
315580,3107
315590,3107
315620,3107
315630,3107
315645,3107
315727,3107
315840,3107
315860,3107
315930,3107
316000,3107
316070,3107
316140,3107
316150,3107
316290,3107
316443,3107
316560,3107
316570,3107
316730,3107
316750,3107
316790,3107
316900,3107
316920,3107
316990,3107
317140,3107
317200,3107
317210,3107
310665,3108
310730,3108
310825,3108
310850,3108
310860,3108
310940,3108
311115,3108
311270,3108
311547,3108
311650,3108
311783,3108
311880,3108
312030,3108
312087,3108
312380,3108
312430,3108
312660,3108
312670,3108
312707,3108
312733,3108
312735,3108
312780,3108
312825,3108
312960,3108
312965,3108
313005,3108
313065,3108
313200,3108
313210,3108
313505,3108
313510,3108
313520,3108
313535,3108
313560,3108
313640,3108
313657,3108
313680,3108
313695,3108
313730,3108
313810,3108
313865,3108
313868,3108
313925,3108
313930,3108
314085,3108
314100,3108
314200,3108
314225,3108
314270,3108
314290,3108
314330,3108
314345,3108
314465,3108
314505,3108
314537,3108
314545,3108
314625,3108
314655,3108
314795,3108
314915,3108
315057,3108
315120,3108
315213,3108
315220,3108
315450,3108
315560,3108
315650,3108
315700,3108
315737,3108
315760,3108
316045,3108
316110,3108
316225,3108
316240,3108
316245,3108
316265,3108
316270,3108
316420,3108
316695,3108
316800,3108
317000,3108
317052,3108
317065,3108
317080,3108
317090,3108
317103,3108
310380,3109
310450,3109
310820,3109
310855,3109
310930,3109
310945,3109
311430,3109
311615,3109
312070,3109
312247,3109
312620,3109
312860,3109
312890,3109
313630,3109
313710,3109
313750,3109
313753,3109
314120,3109
314437,3109
314700,3109
314800,3109
315340,3109
315445,3109
315550,3109
315970,3109
316170,3109
316210,3109
316680,3109
316890,3109
317040,3109
317047,3109
317075,3109
317100,3109
310030,3110
310040,3110
310205,3110
310230,3110
310250,3110
310370,3110
310570,3110
311020,3110
311170,3110
311290,3110
311600,3110
311740,3110
312170,3110
312270,3110
312352,3110
312820,3110
313120,3110
313550,3110
313770,3110
313867,3110
313940,3110
313950,3110
314053,3110
314090,3110
314400,3110
314585,3110
314830,3110
314880,3110
315020,3110
315190,3110
315210,3110
315230,3110
315350,3110
315400,3110
315415,3110
315490,3110
315500,3110
315740,3110
315790,3110
315890,3110
316010,3110
316255,3110
316340,3110
316360,3110
316380,3110
316400,3110
316556,3110
316630,3110
316760,3110
316805,3110
316850,3110
317050,3110
317130,3110
310090,3111
310100,3111
310170,3111
310270,3111
310285,3111
310470,3111
310520,3111
310660,3111
311080,3111
311300,3111
311370,3111
311545,3111
311700,3111
312015,3111
312235,3111
312245,3111
312560,3111
312675,3111
312680,3111
312705,3111
313230,3111
313270,3111
313330,3111
313400,3111
313470,3111
313580,3111
313600,3111
313650,3111
313700,3111
313890,3111
313920,3111
314055,3111
314140,3111
314315,3111
314430,3111
314490,3111
314530,3111
314535,3111
314620,3111
314630,3111
314675,3111
314850,3111
314870,3111
315000,3111
315217,3111
315240,3111
315510,3111
315660,3111
315710,3111
315765,3111
315810,3111
316030,3111
316330,3111
316555,3111
316670,3111
316860,3111
317030,3111
310070,3112
310400,3112
311140,3112
311150,3112
311455,3112
311690,3112
311730,3112
311820,3112
312125,3112
312700,3112
312710,3112
312950,3112
313340,3112
313440,3112
313862,3112
314920,3112
314980,3112
315070,3112
315160,3112
315300,3112
315690,3112
315770,3112
316130,3112
316810,3112
317010,3112
317043,3112
317110,3112
310010,3113
310350,3113
310375,3113
310980,3113
311110,3113
311180,3113
311260,3113
311500,3113
311580,3113
311930,3113
312350,3113
312480,3113
312790,3113
312910,3113
313070,3113
313140,3113
313160,3113
313420,3113
314280,3113
314310,3113
314500,3113
314810,3113
315280,3113
315640,3113
315980,3113
316960,3113
317020,3113
310050,3114
310300,3114
310630,3114
310780,3114
310880,3114
310925,3114
311340,3114
311940,3114
312000,3114
312180,3114
312250,3114
312385,3114
312930,3114
313055,3114
313090,3114
313115,3114
313130,3114
313500,3114
313610,3114
314030,3114
314170,3114
314435,3114
314995,3114
315015,3114
315053,3114
315725,3114
315895,3114
315935,3114
316095,3114
316260,3114
316447,3114
316870,3114
317005,3114
317057,3114
317115,3114

